medicine,category,uses,warnings,side effects,active ingredient,strength,manufacturer
Paracetamol,Analgesic/Antipyretic,Fever and mild to moderate pain,Use carefully in liver disease,"Nausea, dizziness",Paracetamol,650 mg,Micro Labs
Dolo 650,Analgesic/Antipyretic,Fever and mild to moderate pain,Use carefully in liver disease,"Nausea, dizziness",Paracetamol,650 mg,Micro Labs
Crocin,Analgesic/Antipyretic,Fever and mild to moderate pain,Use carefully in liver disease,"Nausea, dizziness",Paracetamol,650 mg,GlaxoSmithKline
Calpol,Analgesic/Antipyretic,Fever and mild to moderate pain,Use carefully in liver disease,"Nausea, dizziness",Paracetamol,500 mg,GlaxoSmithKline
Aspirin,Analgesic/Antiplatelet,Pain and inflammation,Use cautiously with bleeding disorders,"Stomach irritation, nausea",Acetylsalicylic Acid,75 mg,Bayer
Ibuprofen,NSAID,Pain inflammation and fever,Use cautiously with stomach ulcers or kidney problems,"Stomach irritation, nausea",Ibuprofen,400 mg,Abbott
Diclofenac,NSAID,Pain and inflammation,Use cautiously with stomach or kidney problems,"Indigestion, stomach pain",Diclofenac,50 mg,Novartis
Naproxen,NSAID,Pain and inflammation,Use cautiously with stomach or kidney problems,"Indigestion, nausea",Naproxen,250 mg,Abbott
Cetirizine,Antihistamine,Allergy symptoms and itching,May cause drowsiness,"Drowsiness, dry mouth",Cetirizine Hydrochloride,10 mg,Dr Reddys Laboratories
Levocetirizine,Antihistamine,Allergy symptoms and allergic rhinitis,May cause drowsiness,"Drowsiness, dry mouth",Levocetirizine,5 mg,Dr Reddys Laboratories
Loratadine,Antihistamine,Allergy symptoms and allergic rhinitis,Use according to healthcare guidance,"Headache, drowsiness",Loratadine,10 mg,Sun Pharma
Fexofenadine,Antihistamine,Allergy symptoms and allergic rhinitis,Use according to healthcare guidance,"Headache, nausea",Fexofenadine,120 mg,Sanofi
Azithromycin,Antibiotic,Bacterial infections,Use only under medical supervision,"Nausea, diarrhea",Azithromycin,500 mg,Alkem Laboratories
Amoxicillin,Antibiotic,Bacterial infections,Do not use if allergic to penicillin,"Nausea, diarrhea",Amoxicillin,500 mg,Cipla
Cefixime,Antibiotic,Bacterial infections,Use only under medical supervision,"Diarrhea, nausea",Cefixime,200 mg,Abbott
Doxycycline,Antibiotic,Bacterial infections,Use only under medical supervision,"Nausea, stomach upset",Doxycycline,100 mg,Sun Pharma
Metformin,Antidiabetic,Type 2 diabetes,Use under medical supervision,"Nausea, diarrhea",Metformin,500 mg,Sun Pharma
Glimepiride,Antidiabetic,Type 2 diabetes,May cause low blood sugar,"Dizziness, nausea",Glimepiride,1 mg,Sanofi
Sitagliptin,Antidiabetic,Type 2 diabetes,Use under medical supervision,"Headache, nausea",Sitagliptin,100 mg,MSD
Pantoprazole,Proton Pump Inhibitor,Acid reflux and excess stomach acid,Use under medical guidance for prolonged treatment,"Headache, diarrhea",Pantoprazole,40 mg,Sun Pharma
Omeprazole,Proton Pump Inhibitor,Acid reflux and stomach ulcers,Use under medical guidance for prolonged treatment,"Headache, abdominal pain",Omeprazole,20 mg,Dr Reddys Laboratories
Rabeprazole,Proton Pump Inhibitor,Acid reflux and stomach ulcers,Use under medical guidance for prolonged treatment,"Headache, nausea",Rabeprazole,20 mg,Sun Pharma
Ondansetron,Antiemetic,Prevention of nausea and vomiting,Use under medical supervision,"Headache, constipation",Ondansetron,4 mg,Cipla
