medicine,batch_number,manufacturing_date,expiry_date,mrp,licence_number,manufacturer
Paracetamol,DEMO-PCM-001,01/2025,12/2027,25,DEMO-LIC-001,NorthVale Lifesciences Pvt. Ltd.
Dolo 650,DEMO-DOL-001,02/2025,01/2028,35,DEMO-LIC-002,ArdentCare Pharmaceuticals Pvt. Ltd.
Crocin,DEMO-CRO-001,01/2025,12/2027,30,Medora Lifesciences Pvt. Ltd.
Calpol,DEMO-CAL-001,03/2025,02/2028,32,DEMO-LIC-004,Wellcrest Pharmaceuticals Pvt. Ltd.
Aspirin,DEMO-ASP-001,01/2025,12/2027,20,DEMO-LIC-005,NorthVale Lifesciences Pvt. Ltd.
Ibuprofen,DEMO-IBU-001,02/2025,01/2028,28,DEMO-LIC-006,ArdentCare Pharmaceuticals Pvt. Ltd.
Diclofenac,DEMO-DIC-001,03/2025,02/2028,22,DEMO-LIC-007,Medora Lifesciences Pvt. Ltd.
Naproxen,DEMO-NAP-001,01/2025,12/2027,30,DEMO-LIC-008,Wellcrest Pharmaceuticals Pvt. Ltd.
Cetirizine,DEMO-CET-001,02/2025,01/2028,18,DEMO-LIC-009,NorthVale Lifesciences Pvt. Ltd.
Levocetirizine,DEMO-LEV-001,03/2025,02/2028,24,DEMO-LIC-010,ArdentCare Pharmaceuticals Pvt. Ltd.
Loratadine,DEMO-LOR-001,01/2025,12/2027,30,DEMO-LIC-011,Medora Lifesciences Pvt. Ltd.
Fexofenadine,DEMO-FEX-001,02/2025,01/2028,45,DEMO-LIC-012,Wellcrest Pharmaceuticals Pvt. Ltd.
Azithromycin,DEMO-AZI-001,03/2025,02/2028,65,DEMO-LIC-013,NorthVale Lifesciences Pvt. Ltd.
Amoxicillin,DEMO-AMX-001,01/2025,12/2027,55,DEMO-LIC-014,Ardentvale Pharmaceuticals Pvt. Ltd.
Cefixime,DEMO-CFX-001,02/2025,01/2028,70,DEMO-LIC-015,Medora Lifesciences Pvt. Ltd.
Doxycycline,DEMO-DOX-001,03/2025,02/2028,48,DEMO-LIC-016,Wellcrest Pharmaceuticals Pvt. Ltd.
